Min (MHz),Max (MHz),Primary Allocations UPPER (1),Primary Allocations UPPER (2),Primary Allocations UPPER (3),Primary Allocations UPPER (4),Primary Allocations UPPER (5),Primary Allocations UPPER (6),Primary Allocations UPPER (7),Primary Allocations UPPER (8)
35500,36000,METEOROLOGICAL AIDS,EARTH EXPLORATION-SATELLITE,RADIOLOCATION,SPACE RESEARCH,,,,
36000,37000,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,MOBILE,SPACE RESEARCH (PASSIVE),,,,
37000,37500,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE RESEARCH (SPACE-TO-EARTH),,,,,
37500,38000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE RESEARCH (SPACE-TO-EARTH),,,,
38000,39500,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,,
39500,40000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,
40000,40500,EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE),FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),SPACE RESEARCH (EARTH-TO-SPACE),,
40500,41000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),LAND MOBILE,BROADCASTING,BROADCASTING-SATELLITE,,,
41000,42500,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),LAND MOBILE,BROADCASTING,BROADCASTING-SATELLITE,,,
42500,43500,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,RADIO ASTRONOMY,,,,
43500,47000,MOBILE,MOBILE-SATELLITE,RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,,,
47000,47200,AMATEUR,AMATEUR-SATELLITE,,,,,,
47200,47500,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
47500,47900,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
47900,48200,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
48200,50200,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
50200,50400,EARTH EXPLORATION-SATELLITE (PASSIVE),SPACE RESEARCH (PASSIVE),,,,,,
50400,51400,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
51400,52400,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
52400,52600,FIXED,MOBILE,,,,,,
52600,54250,EARTH EXPLORATION-SATELLITE (PASSIVE),SPACE RESEARCH (PASSIVE),,,,,,
